Task ID,Date (task completed),Insert Date,Group Name,Sub Group,Task Labels,Task Name,Rewarded,ADA,GMBL,AGIX,USD,Transaction ID
729,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
730,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
731,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
732,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
733,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
734,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
735,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 11.10 - Earn 100 GMBL,TRUE,0,100,0,0,
736,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 18.10 - Earn 100 GMBL,TRUE,0,100,0,0,
737,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 18.10 - Earn 100 GMBL,TRUE,0,100,0,0,
738,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 18.10 - Earn 100 GMBL,TRUE,0,100,0,0,
739,24.10.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall 18.10 - Earn 100 GMBL,TRUE,0,100,0,0,
889,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
890,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
891,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
892,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
893,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
894,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
895,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #24 - Earn 100 GMBL,TRUE,0,100,0,0,
896,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
897,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
898,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
899,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
900,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
901,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
902,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall #23 - Earn 100 GMBL,TRUE,0,100,0,0,
903,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall  #22 -  100 GMBL,TRUE,0,100,0,0,
904,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall  #22 -  100 GMBL,TRUE,0,100,0,0,
905,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall  #22 -  100 GMBL,TRUE,0,100,0,0,
906,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall  #22 -  100 GMBL,TRUE,0,100,0,0,
907,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall  #22 -  100 GMBL,TRUE,0,100,0,0,
908,15.11.22,,SingularityNET,Ambassador Town Hall,Community Communication,Join Ambassador Town Hall  #22 -  100 GMBL,TRUE,0,100,0,0,
1695,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,FALSE,0,125,2,15,
1696,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1697,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1698,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1699,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1700,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1701,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1702,13.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 13 - 15 USD,TRUE,0,125,2,15,
1703,10.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 10, 2023 - 100 Gimbal & 10 USD",TRUE,0,100,2,10,
1704,10.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 10, 2023 - 100 Gimbal & 10 USD",TRUE,0,100,2,10,
1705,10.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 10, 2023 - 100 Gimbal & 10 USD",TRUE,0,100,2,10,
1706,10.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 10, 2023 - 100 Gimbal & 10 USD",TRUE,0,100,2,10,
1707,10.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 10, 2023 - 100 Gimbal & 10 USD",TRUE,0,100,2,10,
1708,10.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 10, 2023 - 100 Gimbal & 10 USD",TRUE,0,100,2,10,
1709,09.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 9 2023 - 25 AGIX,TRUE,0,100,25,0,
1710,09.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing Workshop - Feb 9 2023 - 25 AGIX,TRUE,0,100,25,0,
1715,03.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,Engage in Marketing Guild - Friday 3rd Feb - 50 AGIX,TRUE,0,100,50,0,
1716,03.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,Engage in Marketing Guild - Friday 3rd Feb - 50 AGIX,TRUE,0,100,50,0,
1717,03.02.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,Engage in Marketing Guild - Friday 3rd Feb - 50 AGIX,TRUE,0,100,50,0,
1718,02.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing workshop - 2nd February - 150 AGIX,TRUE,0,200,150,0,
1719,02.02.23,14.02.23,SingularityNET,Marketing Guild,Operations,Marketing workshop - 2nd February - 150 AGIX,TRUE,0,200,150,0,
1720,02.02.23,14.02.23,SingularityNET,Marketing Guild,"Operations, Content Creation",Video workgroup meeting - 2nd Feb - 54 AGIX,TRUE,0,100,54,0,
1721,02.02.23,14.02.23,SingularityNET,Marketing Guild,"Operations, Content Creation",Video workgroup meeting - 2nd Feb - 54 AGIX,TRUE,0,100,54,0,
1722,02.02.23,14.02.23,SingularityNET,Marketing Guild,"Operations, Content Creation",Video workgroup meeting - 2nd Feb - 54 AGIX,TRUE,0,100,54,0,
1376,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #10 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1378,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #10 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1379,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #10 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1380,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #10 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1396,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #9 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1397,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #9 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1398,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #9 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1399,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #9 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1400,17.01.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #9 - 150 AGX &150 Gimbal,TRUE,0,150,0,0,
1723,02.02.23,14.02.23,SingularityNET,Marketing Guild,"Operations, Content Creation",Video workgroup meeting - 2nd Feb - 54 AGIX,TRUE,0,100,54,0,
1724,02.02.23,14.02.23,SingularityNET,Marketing Guild,"Operations, Content Creation",Video workgroup meeting - 2nd Feb - 54 AGIX,TRUE,0,100,54,0,
1727,31.12.22,14.02.23,SingularityNET,Marketing Guild,Operations,Twitter - Dec & Jan - 108 AGIX,TRUE,0,200,108,0,
1728,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Marketing Meeting Participation - Jan 27, 2023 - 54 AGIX",TRUE,0,100,54,0,
1729,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Marketing Meeting Participation - Jan 27, 2023 - 54 AGIX",TRUE,0,100,54,0,
1730,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Marketing Meeting Participation - Jan 27, 2023 - 54 AGIX",TRUE,0,100,54,0,
1731,25.01.23,14.02.23,SingularityNET,Marketing Guild,Operations,"Marketing Guild Workshop Jan 25, 2023 - 150 AGIX",TRUE,0,200,150,0,
1732,25.01.23,14.02.23,SingularityNET,Marketing Guild,Operations,"Marketing Guild Workshop Jan 25, 2023 - 150 AGIX",TRUE,0,200,150,0,
1733,25.01.23,14.02.23,SingularityNET,Marketing Guild,Operations,"Marketing Guild Workshop Jan 25, 2023 - 150 AGIX",TRUE,0,200,150,0,
1734,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 27, 2023",TRUE,0,100,2,0,
1735,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 27, 2023",TRUE,0,100,2,0,
1736,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 27, 2023",TRUE,0,100,2,0,
